Ulica,Nr,Obiekt,Nr_rej_zabytków
DOLNE MŁYNY,4,dom,
DOROSZEWSKIEGO Witolda,18,dom,
DROSZYŃSKIEGO Leona,30,dom,
DROSZYŃSKIEGO Leona,3,dom,
DROSZYŃSKIEGO Leona,4,dom,
DROSZYŃSKIEGO Leona,7,dom,
DROSZYŃSKIEGO Leona,8-11,d.dom mieszkalny-Zakłady Przem.Cukrow. Bałtyk,
DRZYMAŁY Wojciecha,1,dom mieszkalny w zespole osiedla,
DRZYMAŁY Wojciecha,2,dom mieszkalny w zespole osiedla,
DRZYMAŁY Wojciecha,3,dom mieszkalny w zespole osiedla,
DRZYMAŁY Wojciecha,4,dom mieszkalny w zespole osiedla,
DRZYMAŁY Wojciecha,5,dom mieszkalny w zespole osiedla,
DRZYMAŁY Wojciecha,6,dom,
DRZYMAŁY Wojciecha,7,dom,
DRZYMAŁY Wojciecha,8,dom,
DRZYMAŁY Wojciecha,9,dom,
DRZYMAŁY Wojciecha,10,dom,
DRZYMAŁY Wojciecha,11,dom,
DUBOIS Stanisława,1,dom,
DUBOIS Stanisława,2,dom,
DUBOIS Stanisława,3,dom,
DUBOIS Stanisława,4,dom,
DUBOIS Stanisława,5,dom,
DUBOIS Stanisława,6,dom,
DUBOIS Stanisława,7,dom,
DUBOIS Stanisława,8,dom,
DUBOIS Stanisława,9,dom,
DUBOIS Stanisława,10,dom,
DUBOIS Stanisława,11,dom,
DUBOIS Stanisława,12,dom,
DUBOIS Stanisława,13,dom,
DUBOIS Stanisława,14,dom,
DUBOIS Stanisława,15,dom,
DUBOIS Stanisława,16,dom,
DUBOIS Stanisława,17,dom,
DUBOIS Stanisława,18,dom,
DUBOIS Stanisława,19,dom,
DUBOIS Stanisława,20,dom,
DUBOIS Stanisława,22,dom,
DUBOIS Stanisława,23,dom,
DUBOIS Stanisława,24,dom,
DUBOIS Stanisława,25,dom,
DUBOIS Stanisława,26,dom,
DUBOIS Stanisława,27,dom,
DUBOIS Stanisława,28,dom,
DUBOIS Stanisława,29,dom,
DUBOIS Stanisława,30,dom,
DUBOIS Stanisława,31,dom,
DUBOIS Stanisława,32,dom,
DUBOIS Stanisława,33,dom,
DUBOIS Stanisława,34,dom,
DUBOIS Stanisława,35,dom,
DUBOIS Stanisława,36,dom,
DUBOIS Stanisława,37,dom,
DUBOIS Stanisława,38,dom,
DUBOIS Stanisława,39,dom,
DUBOIS Stanisława,40,dom,
DUBOIS Stanisława,41,dom,
DUBOIS Stanisława,42,dom,
DUBOIS Stanisława,43,dom,
DUBOIS Stanisława,44,dom,
DUBOIS Stanisława,45,dom,
DUBOIS Stanisława,46,dom,
DUBOIS Stanisława,47,dom,
DUBOIS Stanisława,48,dom,
DUBOIS Stanisława,49,dom,
DUBOIS Stanisława,50,dom,
DUBOIS Stanisława,51,dom,
DUBOIS Stanisława,52,dom,
DUBOIS Stanisława,53,dom,
DUBOIS Stanisława,55,dom,
DUBOIS Stanisława,56,dom,
DULKOWA,2,budynek gospodarczy,
DULKOWA,2,budynek gospodarczy,
DULKOWA,2,budynek gospodarczy,
DULKOWA,2,dom,
DULKOWA,6,dom,
DULKOWA,6,dom,
DULKOWA,6,dom,
DULKOWA,8,dom,
DULKOWA,8 ,dom,
DWORCOWA,5,dom,
DWORCOWA,8,dom, usługi,
DWORCOWA,8A,dom,
DWORCOWA,9 k.,dom,
DWORCOWA,10,dom,
DWORCOWA,12,dom,
DWORCOWA,14,dom,
DWORCOWA,16,dom,
DWORCOWA,18,dom,
DWORCOWA/ TRAKT ŚW. WOJCIECHA,,dom,
DWORSKA,3,bud. gospodarczy 1,
DWORSKA,2,kościół Św. Antoniego ,
DWORSKA,2,plebania,
DWORSKA,6,dom,
DWORSKA,8,dom,
DWORSKA,10,budynek mieszkalny,
DYLINKI,3,dom,
DYLINKI,3,dom,
DYREKCYJNA,2-4,budynek DOKP,1211
DYREKCYJNA,5,dom,
DYREKCYJNA,6,dom,
DZIANA,11,Muzeum Archeologiczne,493
DZIANA, DŁUGIE POBRZEŻE,5 (5/7A),kamienica,
DZIANA, DŁUGIE POBRZEŻE,6 (5/7B),kamienica,
DZIANA, DŁUGIE POBRZEŻE,7 (5/7B),kamienica,
DZIANA, DŁUGIE POBRZEŻE,8 (9/11),kamienica,
DZIANA, DŁUGIE POBRZEŻE,9 (9/11),kamienica,
DZIANA, DŁUGIE POBRZEŻE,10 (9/11),kamienica,
DZIELNA,67/69/71/73/75/77,zespół domów,
DZIELNA,70/72/74/76/78/80/82/84/86/88/90/92/94/96/98,zespół domów,
DZIEWANOWSKIEGO Jana,3,dom,
DZIEWANOWSKIEGO Jana,4,dom,
DZIEWANOWSKIEGO Jana,5,dom,
DZIEWANOWSKIEGO Jana,6,dom,
DZIEWANOWSKIEGO Jana,7,dom,
DZIEWANOWSKIEGO Jana,8,dom,
DZIEWANOWSKIEGO Jana,9,dom, weranda,
DZIEWANOWSKIEGO Jana,9 A,dom,
DZIEWANOWSKIEGO Jana,10,dom, ,
ELBLĄSKA,59,dom mieszkalny,usługi,sklep,
ELBLĄSKA,61,budynek w głębi,
ELBLĄSKA,63,dom  ,
ELBLĄSKA,68,dom  ,
ELBLĄSKA,68 A,dom  ,
ELBLĄSKA,89,dom,
ELBLĄSKA,,BRAMA ŻUŁAWSKA,443
ELŻBIETAŃSKA,9/10,klasztor karmelitów-ob.misjonarzy oblatów, kościół pw. Sw. Józefa, brama,771
ELŻBIETAŃSKA,3,Dom Opatów Pelplińskich,416
ELŻBIETAŃSKA,1,Zespół koscioła i szpitala św. Elżbiety,545
FAHRENHEITA Daniela,1,dom,
FAHRENHEITA Daniela,2,dom,
FAHRENHEITA Daniela,3,dom,
FAHRENHEITA Daniela,4,willa,
FAHRENHEITA Daniela,5,dom,
FAHRENHEITA Daniela,6,dom,
FALCK POLONUSA Jeremiasza,04,dom,
FALCK POLONUSA Jeremiasza,06,dom,
FALCK POLONUSA Jeremiasza,08,dom,
FALCK POLONUSA Jeremiasza,09,dom,
FALCK POLONUSA Jeremiasza,11,dom,
FALCK POLONUSA Jeremiasza,12/14,dom,
FALCK POLONUSA Jeremiasza,16,dom,
FALCK POLONUSA Jeremiasza,18,dom,
FALCK POLONUSA Jeremiasza,20,dom,
FISZERA ge. Józefa,5/6,dom,
FISZERA ge. Józefa,7/8,dom,
FISZERA ge. Józefa,12,dom,
FISZERA ge. Józefa,13A/13B,willa,
FITELBERGA Grzegorza,1,dom,
FITELBERGA Grzegorza,2,dom,
FITELBERGA Grzegorza,3,dom,
FITELBERGA Grzegorza,4,dom,
FITELBERGA Grzegorza,5,dom,
FITELBERGA Grzegorza,6,dom,
FITELBERGA Grzegorza,7,dom,
FITELBERGA Grzegorza,8,dom,
FITELBERGA Grzegorza,10,dom,
FLORIAŃSKA,1,dom,
FLORIAŃSKA,3,dom,
FREDRY Aleksandra,1,dom,
FREDRY Aleksandra,2,dom,
FREDRY Aleksandra,3,dom,
FREDRY Aleksandra,4,dom,
FREDRY Aleksandra,5,dom,
FREDRY Aleksandra,6,dom,
FREDRY Aleksandra,7,dom,
FREDRY Aleksandra,8,dom,
FREDRY Aleksandra,9,dom,
FREDRY Aleksandra,10,dom,
FREDRY Aleksandra,11,dom,
FREDRY Aleksandra,12,dom,
FREDRY Aleksandra,13,dom,
FREDRY Aleksandra,14,dom,
FREDRY Aleksandra,15,dom,
FREDRY Aleksandra,16,dom,
FREDRY Aleksandra,17,dom,
FREDRY Aleksandra,18,dom,
FREDRY Aleksandra,19,dom,
FREDRY Aleksandra,20,dom,
FREDRY Aleksandra,21,dom,
FREDRY Aleksandra,22,dom,
FREDRY Aleksandra,23,dom,
FREDRY Aleksandra,24,dom,
FREDRY Aleksandra,25,dom,
FREDRY Aleksandra,26,dom,
FUNDACYJNA,7,dom,
FUNDACYJNA,8,dom,
GARBARY,1,dom,615
GARBARY,2 (2/4),dom,
GARBARY,3 (2/4),kamienica,
GARBARY,4 (2/4),kamienica,
GARBARY,5,dom,
GARBARY,6 (6/7),dom,
GARBARY,7 (6/7),dom,
GARBARY,8,dom, usługi,
GARBARY,9,dom, usługi,
GARBARY,10 (10/11),dom,
GARBARY,11 (10/11),dom,
GARBARY,12,dom,
GARBARY,13,dom,
GARBARY,14,d0m,
GAZOWNICZA,7 B,kamienica,
GDAŃSK ,,uklad urbanistyczny miasta Gdańska,15
GDAŃSK ,,mury obronne Głównego Miasta Gdańska,135
Gdańsk /Pruszcz Gdański/Św. Wojciech,,Kanał  Raduni / kanał wraz z groblami, towarzysząca zabudową i zielenią na całej długości  obiektu - od śluzy na zachód od Pruszcz Gdańskiego do ujścia Kanału do Starej Motławy w Gdańsku/,986
GDAŃSKA,32,kamienica,
GDAŃSKA,2,budynek mieszkalny,
GDAŃSKA,4,budynek mieszkalny,
GDAŃSKA,6,budynek mieszkalny,
GDAŃSKA,8,budynek mieszkalny,
GDAŃSKA,15,budynek mieszkalny,
GDAŃSKA,17,budynek mieszkalny,
GDAŃSKA,17A,budynek mieszkalny,
GDAŃSKA,21,budynek mieszkalny,
GDYŃSKICH KOSYNIERÓW,2,kamienica,
GDYŃSKICH KOSYNIERÓW,3,kamienica,
GDYŃSKICH KOSYNIERÓW,4,kamienica,
GDYŃSKICH KOSYNIERÓW,5,kamienica,
GDYŃSKICH KOSYNIERÓW,6,kamienica,
GDYŃSKICH KOSYNIERÓW,9,kamienica,
GDYŃSKICH KOSYNIERÓW,10,kamienica,
GIEŁGUDA gen. Antoniego,21,kamienica,
GIEŁGUDA gen. Antoniego,23,kamienica,
GIEŁGUDA gen. Antoniego,27,kamienica,
GLINKI Michała,1,dom,
GLINKI Michała,2,dom,
GLINKI Michała,3,dom,
GLINKI Michała,5,dom,
GLINKI Michała,6,dom,
GLINKI Michała,7,dom,
GLINKI Michała,8,dom,
GLINKI Michała,9,dom,
GLINKI Michała,11,dom,
GLINKI Michała,13,dom,
GLINKI Michała,15,dom,
GLINKI Michała,17,dom,
GLINKI Michała,19,dom,
GŁĘBOKA,1,kościół pw. MB Bolesnej,
GŁĘBOKA,1,plebania przy kościele pw. MB Bolesnej,
GŁĘBOKA,11,dom,
GŁUCHA,1,dom, usługi,
GŁUCHA,2,dom,
GŁUCHA,3,dom,
GŁUCHA,4,dom,
GŁUCHA,5,dom,
GŁUCHA,6,dom,
GŁUCHA,14,dom,
GŁUCHA,18,dom,
GŁUCHA,22,dom,
GŁUCHA,25,dom,
GŁUCHA,26,dom,
GŁUCHA,27,dom,
GOMULICKIEGO Wiktora,2,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,3,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,4,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,5,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,7 A,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,7 B,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,8,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,9,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,10,osiedle domków robotniczych Fundacji dr Abegga ,985
GOMULICKIEGO Wiktora,13,osiedle domków robotniczych Fundacji dr Abegga ,985
GOPLAŃSKA,20,dom,
GOPLAŃSKA,20,budynek gospopdarczy,
GOPLAŃSKA,28,dom,
GOPLAŃSKA,30,dom,
GOPLAŃSKA /d. Kiełpino Górne 31-32),34. (31-32) ,dwór z parkiem,841
GOPLAŃSKA,38,dom,
GOPLAŃSKA,40 A,dom,
GOSZCZYŃSKIEGO Seweryna,5,dom,
GOSZCZYŃSKIEGO Seweryna,12,dom,
GOSZCZYŃSKIEGO Seweryna,13,dom,
GOSZCZYŃSKIEGO Seweryna,15/17,dom,
GOSZCZYŃSKIEGO Seweryna,19/21,dom,
GOSZCZYŃSKIEGO Seweryna,23,dom,
GOSZCZYŃSKIEGO Seweryna,25,dom,
GOŚCINNA,1,dom,
GOŚCINNA,2,dom, usługi,
GOŚCINNA,2 pod,,
GOŚCINNA,4,ob. Szkoła muzyczna,
GOŚCINNA,5,dom,
GOŚCINNA,6,poczta,
GOŚCINNA,10,dom z kuźnią,1027
GOŚCINNA,12,dom,
GOŚCINNA,13,dom,
GOŚCINNA,14,dom,
GOŚCINNA,15,d. kosciół ewangelicki ob. N.Serca P.Jezusa,ob. Św. Jana Bosco,717
GOŚCINNA,15,dom,
GOŚCINNA,16,dom,
GOŚCINNA,17,szkoła podstawowa nr 10,
GOŚCINNA,18,dom,
GOŚCINNA,21,dom,
GÓRECKA,3,dom,
GÓRECKIEGO ks. Mariana,4,dom,
GÓRECKIEGO ks. Mariana,5,dom,
GÓRECKIEGO ks. Mariana,6,dom,
GÓRECKIEGO ks. Mariana,6 A,dom,
GÓRECKIEGO ks. Mariana,7,dom,
GÓRECKIEGO ks. Mariana,7 A,dom,
GÓRECKIEGO ks. Mariana,8,dom,
GÓRECKIEGO ks. Mariana,9,dom,
GÓRECKIEGO ks. Mariana,10/10 A/10 B,dom,
GÓRECKIEGO ks. Mariana,11,dom,
GÓRECKIEGO ks. Mariana,12,dom,
GÓRECKIEGO ks. Mariana,12,dom, drugi budynek,
GÓRECKIEGO ks. Mariana,13,dom,
GÓRECKIEGO ks. Mariana,13 A,dom,
GÓRECKIEGO ks. Mariana,14,dom,
GÓRECKIEGO ks. Mariana,15,dom,
GÓRECKIEGO ks. Mariana,16,dom,
GÓRECKIEGO ks. Mariana,16,drugi budynek,
GÓRECKIEGO ks. Mariana,18,kosciół św. Jadwigi,  plebania, dom parafialny, budynek gosp.,1093
GÓRKA,11,dom,
GÓRKA,12 A,dom,
GÓRKA,12 B,dom,
GÓRKA,13 A,dom, usługi,
GÓRKA,13 B,2 budynek,
GÓRKA,14,dom,
GRABOWA,1,dom,
GRABOWA,2,dom,
GRABOWA,3,dom,
GRABOWA,4,dom,
GRABOWA,5/5A,dom,
GRABOWA,6/6A,dom,
GRABOWA,7,dom,
GRABOWA,8,dom,
GRABOWA,9,dom,
GRABOWA,10,dom,
GRAŻYNY,1, kamienica,
GRAŻYNY,2, kamienica,
GRAŻYNY,3, kamienica,
GRAŻYNY,4, kamienica,
GRAŻYNY,5, kamienica,
GRAŻYNY,5, kamienica,
GRAŻYNY,6, kamienica,
GRAŻYNY,7, kamienica,
GRAŻYNY,8, kamienica,
GRAŻYNY,10, kamienica,
GRAŻYNY,11, kamienica,
GRAŻYNY,12, kamienica,
GRAŻYNY,13, kamienica,
GRAŻYNY,14, kamienica,
GRAŻYNY,15, kamienica,
GRAŻYNY,16, kamienica,
GRAŻYNY,17, kamienica,
GRAŻYNY,18, kamienica,
GRAŻYNY,19, kamienica,
GRAŻYNY,20, kamienica,
GRAŻYNY,21,kamienica, drugi budynek,
GROBLA I,1 (1/2),dom,
GROBLA I,3 (3/4),dom,
GROBLA I,6 (5/7),dom,
GROBLA I,7 (5/7),dom,
GROBLA I,10 (8/11),dom mieszkalny-ob.Galeria Fotografii,
GROBLA I,11 (8/11),kamienica,
GROBLA I,12 (8/11),kamienica,
GROBLA I,13A,kamienica,
GROBLA I,13B,kamienica,
GROBLA I,13C,kamienica,
GROBLA I,13D,kamienica,
GROBLA I,13E,kamienica,
GROBLA I,13F,kamienica,
GROBLA II,13 (12/14B),kamienica,
GROBLA II,15 (12/14C),kamienica,
GROBLA II,18 (12/14D),kamienica,
GROBLA II,14 (12/14B),kamienica,
GROBLA II,16 912/14C),kamienica,
GROBLA II,17 (12/14D),kamienica,
GROBLA III,9,kamienica,616
GROBLA III,1 (1/6A),kamienica,
GROBLA III,5 (1/6C),kamienica,
GROBLA III,6 (1/6C),kamienica,
GROBLA III,12/14,kamienica,
GROBLA III,15/16,kamienica,
GROBLA III,17/18,kamienica,
GROBLA III,1/6A,kamienica,
GROBLA III,1/6B,kamienica,
GROBLA III,1/6B,kamienica,
GROBLA III,1/6C,kamienica,
GROBLA III,7 (1/6D),kamienica,
GROBLA III,8 (1/6D róg),kamienica,
GROBLA III,13 (12/14),kamienica,
GROBLA III,17 (17/18),kamienica,
GROBLA III,18 (17/18),kamienica,
GROBLA III,9 (9/11),kamienica,
GROBLA III,10 (9/11),kamienica,
GROBLA III,11 (9/11),kamienica,
GROBLA IV,1A,kamienica,
GROBLA IV,1B,kamienica,
GROBLA IV,1C,kamienica,
GROBLA IV,2,kamienica,
GROBLA IV,3,kamienica,
GROBLA IV,8,kamienica,
GROBLA IV,8,kamienica,
GRODZA KAMIENNA,,zespół  Śluzy Kamiennej / śluza, grodze kamienne, umocnienia ziemne przed śluzą/,495
GRODZA KAMIENNA ,,umocnienia, mury tzw. bramy kolejowej między ul. Mostową a Grodzą Kamienną,
GRODZA KAMIENNA,2 C,dom,
GRODZA KAMIENNA,2 D,dom,
GRODZA KAMIENNA,2 F,dom,
GRODZA KAMIENNA,2 H,dom,
GRODZA KAMIENNA,2 I,dom,
GRODZIEŃSKA,1/2,budynek mieszkalny,
GRODZIEŃSKA,3/4,budynek mieszkalny,
GRODZIEŃSKA,5/6,budynek mieszkalny,
GRODZIEŃSKA,7/8,budynek mieszkalny,
GRODZIEŃSKA,9/10,budynek mieszkalny,
GRODZIEŃSKA,11/12,budynek mieszkalny,
GRODZIEŃSKA,13/14,budynek mieszkalny,
GRODZIEŃSKA,15/16,budynek mieszkalny,
GRODZIEŃSKA,17/18,budynek mieszkalny,
GRODZIEŃSKA,19/20,budynek mieszkalny,
GRODZIEŃSKA,21/22,budynek mieszkalny,
GRODZIEŃSKA,23/24,budynek mieszkalny,
GRODZIEŃSKA,25/26,budynek mieszkalny,
GRODZIEŃSKA,27/28,budynek mieszkalny,
GRODZKA/ Wartka 8,9,dwa budynki z fragmentem muru obronnego,599
GRODZKA,12,kamienica,691
GRODZKA,13,kamienica,1695
GRODZKA,14/15,kamienica,
GRODZKA,16,spichlerz Pod Jeleniem,452
GRODZKA,18,budynek,592
GROTTGERA Artura,1,dom,
GROTTGERA Artura,1 A,dom,
GROTTGERA Artura,1B,dom,
GROTTGERA Artura,01 D,dom bliźniczy z Żeromskiego 5,
GROTTGERA Artura,2 A,dom,
GROTTGERA Artura,3A,budynek mieszkalny,
GROTTGERA Artura,4,budynek mieszkalny,
GROTTGERA Artura,5,budynek mieszkalny,
GROTTGERA Artura,8,budynek mieszkalny,
GROTTGERA Artura,9,budynek mieszkalny,
GROTTGERA Artura,11,budynek mieszkalny wraz z ogrodzeniem,
GROTTGERA Artura,11A,budynek mieszkalny wraz z ogrodzeniem,
GROTTGERA Artura,12,budynek mieszkalny,
GROTTGERA Artura,13,budynek mieszkalny,
GROTTGERA Artura,14,budynek mieszkalny,
GROTTGERA Artura,21,budynek mieszkalny,
GROTTGERA Artura,22,budynek mieszkalny,
GROTTGERA Artura,24,budynek mieszkalny,
GROTTGERA Artura,25,budynek mieszkalny,
GROTTGERA Artura,26,budynek mieszkalny,
GROTTGERA Artura,27,budynek mieszkalny,
GROTTGERA Artura,28,budynek mieszkalny,
GROTTGERA Artura,29,budynek mieszkalny,
GROTTGERA Artura,31,budynek mieszkalny,
GROTTGERA Artura,34,dom,
GROTTGERA Artura,37,dom bliźniczy z Żeromskiego 4,
GROTTGERA Artura,39,dom,
GROTTGERA Artura,40,budynek mieszkalny,
GROTTGERA Artura,41,dom,
GROTTGERA Artura,42,dom,
GROTTGERA Artura,43,dom,
HIRSZFELDA Ludwika,2,dom,
HIRSZFELDA Ludwika,4,dom,
HIRSZFELDA Ludwika,6,dom,
HIRSZFELDA Ludwika,8,dom,
HIRSZFELDA Ludwika,6/8,dom,
HIRSZFELDA Ludwika,14,dom,
HIRSZFELDA Ludwika,16,dom,
HOENE-WROŃSKIEGO Józefa,3,dom,,
HOENE-WROŃSKIEGO Józefa,4,Regionalne Centrum Krwiodawstwa,
HOENE-WROŃSKIEGO Józefa,5,dom,
HOENE-WROŃSKIEGO Józefa,5 A/B,d.dom - ob. Woj. Stacja Sanitarno-Epidemiologiczna - laboratoria,
HOENE-WROŃSKIEGO Józefa,7,willa,
HOENE-WROŃSKIEGO Józefa,6,willa,
HOENE-WROŃSKIEGO Józefa,8,dom,
HOENE-WROŃSKIEGO Józefa,10,willa,
HOENE-WROŃSKIEGO Józefa,12,willa,
HOŁDU PRUSKIEGO,1,willa,
HOŁDU PRUSKIEGO,2,dom,
HOŁDU PRUSKIEGO,4,willa,
HOŁDU PRUSKIEGO,5,willa,
HOŁDU PRUSKIEGO,6,willa,
HOŁDU PRUSKIEGO,7,willa,
HOŁDU PRUSKIEGO,8,willa,
HOŁDU PRUSKIEGO,9,willa,
HOŁDU PRUSKIEGO,10,willa,
HOŁDU PRUSKIEGO,11,willa, drugi budynek w głębi,
HUBALA mjr.,1,dom,
HUBALA mjr.,2,dom,
HUBALA mjr.,3,dom,
HUSA Jana,04,dom,
HUSA Jana,05,dom-w zespole osiedla,
HUSA Jana,06,dom-w zespole osiedla,
HUSA Jana,07,dom-w zespole osiedla,
HUSA Jana,08,dom-w zespole osiedla,
HUSA Jana,09,dom-w zespole osiedla,
HUSA Jana,10,dom-w zespole osiedla,
HUSA Jana,11,dom-w zespole osiedla,
HUSA Jana,12,dom-w zespole osiedla,
HUSA Jana,13,dom-w zespole osiedla,
HUSA Jana,14,dom-w zespole osiedla,
HUSA Jana,15,dom-w zespole osiedla,
HUSA Jana,16,dom-w zespole osiedla,
HUSA Jana,17,dom-w zespole osiedla,
HUSA Jana,18,dom,
HUSA Jana,19,dom,
IŁOWA,1,dom,
IŁOWA,2,dom,
INSPEKTORSKA,9,dom,1065
JABŁONIOWA,47,zespół dworsko-parkowy,
JABŁONIOWA,47,d. obora,
JANA Z KOLNA,07,dom,
JANA Z KOLNA,08,dom, usługi,
JANA Z KOLNA,09,dom,
JANA Z KOLNA,10,dom,
JANA Z KOLNA,27,budynek,
JANA Z KOLNA,28,budynek,
JANA Z KOLNA,29,budynek,
JANA Z KOLNA,30,budynek,
JANTAROWA,4,dom,
JANTAROWA,4 A,dom,
JARACZA Stefana,12 A,dom,
JARACZA Stefana,12 B,dom,
JARACZA Stefana,13 A,dom,
JARACZA Stefana,13 B,dom,
JAROWA,1,dom,
JASKÓŁCZA,1,zespół Łaźni Miejskiej: budynek łaźni, budynek pomocniczy, ogrodzenie,1607
JASNA,2,dom,
JASNA,3/5/7,dom,
JASNA,9,dom,
JASNA,4,dom,
JASTRZĘBIA,2,dom,
JAŚKOWA DOLINA,,zespół zabudowy ulicy (zabudowa willowa wraz z ogrodami oraz zabudowa czynszowa ulic: Jaśkowa Dolina, Pawłowskiego, Romera, Akacjowa, Na Wzgórzu,970
JAŚKOWA DOLINA,4,dom, biura,
JAŚKOWA DOLINA,6,dom, biura,
JAŚKOWA DOLINA,7,dom mieszkalny-ob.przych.lekarska,
JAŚKOWA DOLINA,8,dom,
JAŚKOWA DOLINA,9,dom,
JAŚKOWA DOLINA,10,dom,
JAŚKOWA DOLINA,11A,B,C,dom,
JAŚKOWA DOLINA,12,dom mieszkalny-wiila - ob.przedszkole,
JAŚKOWA DOLINA,14,budynek d.kina Bajka',
JAŚKOWA DOLINA,15,dom mieszkalny -willa-ob.Inst.Łącznośći - mieszkal. biblioteka,
JAŚKOWA DOLINA,16,dom, usługi,
JAŚKOWA DOLINA,17,zespół dworsko-parkowy,990
JAŚKOWA DOLINA,19,willa,1574
JAŚKOWA DOLINA,23,willa,
JAŚKOWA DOLINA,24,dom,
JAŚKOWA DOLINA,31,willa -ob.PAN -Oddz.Gdańsk,962
JAŚKOWA DOLINA,33,dom,
JAŚKOWA DOLINA,36,dom,
JAŚKOWA DOLINA,37,dom,1448
JAŚKOWA DOLINA,38,dom,
JAŚKOWA DOLINA,39,dom mieszkalny,zabud.gosp,
JAŚKOWA DOLINA,40,dom,
JAŚKOWA DOLINA,42,willa,
JAŚKOWA DOLINA,44,willa-ob.przedszkole,1572
JAŚKOWA DOLINA,45,willa,1775
JAŚKOWA DOLINA,47,dom,
JAŚKOWA DOLINA,47,dom,
JAŚKOWA DOLINA,48,willa,
JAŚKOWA DOLINA,50,dom,
JAŚKOWA DOLINA,52,willa,
JAŚKOWA DOLINA,52,bud.gospodarczy w głębi ogrodu,
JAŚKOWA DOLINA,54,dom (narożny - Sobieskiego 52),
JAŚKOWA DOLINA,56,dom,
JAŚKOWA DOLINA,63,dom,
JAŚKOWA DOLINA,67,dom,
JAŚKOWA DOLINA,68,dom,
JAŚKOWA DOLINA,71,dom,
JAŚKOWA DOLINA,71 k.,grota ogrodowa,
JAŚKOWA DOLINA,72,dom,
JAŚKOWA DOLINA,74,dom,
JAŚKOWA DOLINA,78 k.,dąb,
JAŚKOWA DOLINA,85,bud.gospodarczy w głębi ogrodu,
JAŚKOWA DOLINA,92,willa,
JAŚKOWA DOLINA  - las,,altana z figurą,
JAŚKOWA DOLINA  - las,,mostek w Gaju Gutenberga,
JAŚKOWA DOLINA  - las,,mostek 2  w Gaju Gutenberga,
JELITKOWSKA,2,d. Dom Kuracyjny,
JESIENNA,11,kościół św. Walentego,252
JESIENNA,11,kaplica,
JESIENNA,13,plebania,
JESIENNA,14,d. szkoła,
JESIONOWA,1,dom,
JESIONOWA,2,dom,
JESIONOWA,3,dom,
JESIONOWA,4,dom,
JESIONOWA,6,dom,
JESIONOWA,6A,dom,
JESIONOWA,6B,dom,
JESIONOWA,7,dom,
JESIONOWA,8,dom,
JESIONOWA,8A,dom,
JESIONOWA,9,dom,
JESIONOWA,10,dom,
JESIONOWA,11,dom,
JESIONOWA,12,dom,
JESIONOWA,14,dom,
JESIONOWA,14B,dom,
JESIONOWA,15,dom,
JESIONOWA,15B,dom,
JESIONOWA,16,dom,
JESIONOWA,17,dom,
JODŁOWA,3,dom,
JODŁOWA,04,dom,
JODŁOWA,06,dom,
JODŁOWA,08,dom,
JODŁOWA,13,dom,
JODŁOWA,15,dom,
JODŁOWA,17,dom,
JODŁOWA,19,dom,
JODŁOWA,21,dom,
JODŁOWA,23,dom,
JODŁOWA,24,dom,
JODŁOWA,25,dom,
JODŁOWA,27,dom,
JODŁOWA,29,dom,
JODŁOWA,31,dom,
JODŁOWA,32,dom,
JODŁOWA,33,dom,
JODŁOWA,33,dom,
JODŁOWA,35,dom,
JODŁOWA,37,dom,
JODŁOWA,39,dom,
JODŁOWA,41,dom,
JODŁOWA,43,dom,
JODŁOWA,48,dom,
JODŁOWA,50,dom,
JODŁOWA,52,dom,
JODŁOWA,54,dom,
JODŁOWA,56,dom,
JODŁOWA,58,dom,
KACZEŃCE,1,dom,
KACZEŃCE,3,dom,
KACZEŃCE,5,dom,
KACZEŃCE,7,dom,
KACZEŃCE,15,dom,
KACZEŃCE,17,dom,
KACZEŃCE,19,dom,
KALETNICZA,1 (1/2),kamienica,
KALETNICZA,2 (1/2),kamienica,
KALETNICZA,3 (3/7),kamienica,614
KALETNICZA,4 (3/7),kamienica,
KALETNICZA,5 (3/7),kamienica,
KALETNICZA,6 (3/7),kamienica,
KALETNICZA,7 (3/7),kamienica,
KALETNICZA,10 (10/13),kamienica,
KALETNICZA,11 (10/13),kamienica,
KALETNICZA,12 (10/13),kamienica,
KAMIENNA GROBLA,28/29,dwa budynki fabryczne, obecnie firma Batycki,
KAPLICZNA,12,dom,
KAPRÓW,4,dom,
KAPRÓW,6,dom,
KAPRÓW,7,dom,
KAPRÓW,8,dom,
KAPRÓW,9,dom,
KAPRÓW,10,dom,
KAPRÓW,11,dom,
KAPRÓW,13,dom,
KAPRÓW,14,dom,
KAPRÓW,15,dom,
KAPRÓW,16,dom,
KAPRÓW,17,dom,
KAPRÓW,18,dom,
KARŁOWICZA Mieczysława,01,dom,
